train | 1:6.61257 | 2:4.69961 | 3:4.82762
train | 1:6.80054 | 2:4.64357 | 3:4.75479
train | 1:6.41644 | 2:4.50685 | 3:4.65453
train | 1:6.38479 | 2:4.43562 | 3:4.58044
train | 1:6.43969 | 2:4.45558 | 3:4.58042
train | 1:6.51813 | 2:4.40763 | 3:4.54822
train | 1:6.44538 | 2:4.73595 | 3:4.85432
train | 1:6.38433 | 2:4.39958 | 3:4.51817
train | 1:6.23132 | 2:4.28434 | 3:4.39814
train | 1:6.62132 | 2:4.65702 | 3:4.83853
train | 1:6.38447 | 2:4.42022 | 3:4.54098
train | 1:6.41026 | 2:4.48507 | 3:4.54712
train | 1:6.63715 | 2:4.60218 | 3:4.72735
train | 1:6.57365 | 2:4.61018 | 3:4.70446
train | 1:6.53287 | 2:4.64442 | 3:4.79882
train | 1:6.54156 | 2:4.53286 | 3:4.67281
train | 1:6.44729 | 2:4.46252 | 3:4.65000
train | 1:6.45244 | 2:4.49519 | 3:4.62609
train | 1:6.33960 | 2:4.57959 | 3:4.71564
train | 1:6.50591 | 2:4.78651 | 3:4.92010
train | 1:6.40190 | 2:4.38338 | 3:4.50931
train | 1:6.39073 | 2:4.72628 | 3:4.81631
train | 1:6.72434 | 2:4.76315 | 3:4.87822
train | 1:6.59696 | 2:4.74011 | 3:4.90061
train | 1:6.49065 | 2:4.57769 | 3:4.75653
train | 1:6.30305 | 2:4.50401 | 3:4.61230
train | 1:6.72770 | 2:4.69406 | 3:4.83903
train | 1:6.52570 | 2:4.58948 | 3:4.70028
train | 1:6.47422 | 2:4.65309 | 3:4.76992
train | 1:6.51412 | 2:4.47140 | 3:4.58582
train | 1:6.54918 | 2:4.65664 | 3:4.77337
train | 1:6.35570 | 2:4.36686 | 3:4.50510
train | 1:6.14975 | 2:4.33508 | 3:4.44261
train | 1:6.50728 | 2:4.56237 | 3:4.68610
train | 1:6.33311 | 2:4.46521 | 3:4.58890
train | 1:6.41720 | 2:4.55112 | 3:4.70472
train | 1:6.64656 | 2:4.67726 | 3:4.83851
train | 1:6.14439 | 2:4.37525 | 3:4.54059
train | 1:6.51613 | 2:4.66968 | 3:4.82226
train | 1:6.28158 | 2:4.50573 | 3:4.61653
train | 1:6.65456 | 2:4.50270 | 3:4.64573
train | 1:6.48563 | 2:4.53363 | 3:4.65670
train | 1:6.63563 | 2:4.77667 | 3:4.87219
train | 1:6.28455 | 2:4.45300 | 3:4.58100
train | 1:6.26545 | 2:4.53261 | 3:4.67899
train | 1:6.21148 | 2:4.30080 | 3:4.43138
train | 1:6.57739 | 2:4.70553 | 3:4.83557
train | 1:6.21613 | 2:4.39789 | 3:4.57446
train | 1:6.42008 | 2:4.54323 | 3:4.63657
train | 1:6.51239 | 2:4.58918 | 3:4.70894
train | 1:6.26968 | 2:4.37429 | 3:4.51614
train | 1:6.51429 | 2:4.64775 | 3:4.79026
train | 1:6.27540 | 2:4.53700 | 3:4.64255
train | 1:6.44976 | 2:4.65087 | 3:4.76509
train | 1:6.47133 | 2:4.41940 | 3:4.59234
train | 1:6.31680 | 2:4.54118 | 3:4.67247
train | 1:6.36188 | 2:4.41582 | 3:4.57190
train | 1:6.43046 | 2:4.47405 | 3:4.62669
train | 1:6.30624 | 2:4.61090 | 3:4.70866
train | 1:6.26918 | 2:4.52600 | 3:4.65038
train | 1:6.09033 | 2:4.34354 | 3:4.44754
train | 1:6.39126 | 2:4.38787 | 3:4.49769
train | 1:6.17536 | 2:4.46386 | 3:4.62046
train | 1:6.36171 | 2:4.43978 | 3:4.60088
train | 1:6.24465 | 2:4.47994 | 3:4.61751
train | 1:6.37170 | 2:4.43192 | 3:4.53858
train | 1:6.52545 | 2:4.72702 | 3:4.88276
train | 1:6.44803 | 2:4.66124 | 3:4.80058
train | 1:6.29917 | 2:4.45791 | 3:4.59872
train | 1:6.13019 | 2:4.36926 | 3:4.47567
train | 1:6.32777 | 2:4.53732 | 3:4.63773
train | 1:6.32073 | 2:4.51956 | 3:4.63595
train | 1:6.25346 | 2:4.43543 | 3:4.58402
train | 1:6.16009 | 2:4.36847 | 3:4.49382
train | 1:6.64067 | 2:4.90912 | 3:5.02293
train | 1:6.35281 | 2:4.43375 | 3:4.57611
train | 1:6.06249 | 2:4.43393 | 3:4.57657
train | 1:6.14574 | 2:4.31668 | 3:4.44777
train | 1:6.16478 | 2:4.09676 | 3:4.19394
train | 1:6.39794 | 2:4.64320 | 3:4.76529
train | 1:6.62820 | 2:4.81546 | 3:4.93578
train | 1:6.20225 | 2:4.34845 | 3:4.49563
train | 1:6.17655 | 2:4.45241 | 3:4.59994
train | 1:6.47004 | 2:4.52965 | 3:4.64681
train | 1:6.15891 | 2:4.34856 | 3:4.47806
train | 1:6.24272 | 2:4.54599 | 3:4.71881
train | 1:6.46574 | 2:4.49401 | 3:4.58434
train | 1:6.26879 | 2:4.47639 | 3:4.63128
train | 1:6.37855 | 2:4.31309 | 3:4.41735
train | 1:6.04342 | 2:4.25089 | 3:4.36902
train | 1:6.49308 | 2:4.58808 | 3:4.70454
train | 1:6.11738 | 2:4.39305 | 3:4.51433
train | 1:6.15595 | 2:4.39206 | 3:4.52192
train | 1:6.55216 | 2:4.57091 | 3:4.73058
train | 1:6.40491 | 2:4.59044 | 3:4.71323
